Sample_ID,Location,Site_Name,Site_ID,Lat,Long,Sampling_Date,Sampling_Time,Timezone,USGS_siteno,Avg_WaterTemp_degC,Avg_pH,Avg_SpecConductance (uS/cm),DO (%),DO (mg/L),Barometric Pressure,Depth (Meters),pH mV,Battery volts,Turbidity,Chlorophyll RFU,Chlorophyll ug/L,fDOM QSU,fDOM RFU,ORP mV,TAL PC RFU,TAL PC ug/L,Wiper Position volt,B-G Algae mg/L,Nitrate mg/L,fCHL,Secchi Depth,BGA-PC ug/L,Phyco-cyanin ug/L,Discharge (cu.ft/s),Notes
RPT_01,"Upper Klamath Lake, OR (UKL)",Rattlesnake Point,RPT,42.34436,-121.85715,7/5/2022,8:55:00 AM,PDT,n/a,19.09,8.69,117.5,114.4,10.59,656,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Partly sunny, no wind. Averaged from 2 samples. Arrived 070622 cold with ice melted."
WRM,"Upper Klamath Lake, OR (UKL)",Williamson River Mouth,WRM,42.46354,-121.95883,7/5/2022,9:30:00 AM,PDT,n/a,17.01,8.24,93.5,108.55,10.48,656,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Partly sunny, no wind. Averaged from 2 samples. Arrived 070622 cold with ice melted."
PB,"Upper Klamath Lake, OR (UKL)",Pelican Bay,PB,42.45742,-122.07139,7/5/2022,10:35:00 AM,PDT,n/a,16.5,7.95,81.5,102.25,9.98,656,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Partly sunny, no wind. Averaged from 2 samples. Arrived 070622 cold with ice melted."
RPT_02,"Upper Klamath Lake, OR (UKL)",Rattlesnake Point,RPT,42.344304,-121.858196,7/25/2022,9:50:00 AM,PDT,n/a,21.04,9.99,122.5,112.35,10.03,658.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric Pressure taken from office not field. 10mph winds, very sunny. Averaged from 2 samples. "
HB_01,"Upper Klamath Lake, OR (UKL)",Howard Bay,HB,42.31539,-121.941946,7/25/2022,9:20:00 AM,PDT,n/a,21.27,10.22,131,125.35,11.07,658.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric Pressure taken from office not field. 5mph winds, very sunny. Averaged from 2 samples. "
MP,"Upper Klamath Lake, OR (UKL)",Moore Park,MP,42.235901,-121.813987,7/25/2022,10:05:00 AM,PDT,n/a,22.1,10.26,131.5,136.3,11.94,658.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric Pressure taken from office not field. 10mph winds, very sunny. Averaged from 2 samples. "
MDT,"Upper Klamath Lake, OR (UKL)",Mid Trench,MDT,42.38607,-121.92974,8/1/2022,9:00:00 AM,PDT,n/a,25.26,9.12,120,33.25,2.73,659.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric pressure: from office, not field. Overcast, no wind, smokey. "
SB,"Upper Klamath Lake, OR (UKL)",Shoalwater Bay,SB,42.41402,-121.96029,8/1/2022,9:21:00 AM,PDT,n/a,24.97,9.56,125.5,108.35,8.96,659.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric pressure: from office, not field. Overcast, no wind, smokey. "
HB_02,"Upper Klamath Lake, OR (UKL)",Howard Bay,HB,42.33147,-121.93424,8/1/2022,8:35:00 AM,PDT,n/a,24.8,9.2,120,34.05,2.82,659.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Barometric pressure: from office, not field. 5mph SW wind, overcast, smokey."
CP,"Deschutes River, OR","Crane Prairie Reservoir Near La Pine,Oreg",CP,43.7553,-121.785,7/13/2022,9:46:00 AM,PDT,14053500,23.55,9.39,44.32,122.9,8.9,648.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"DO%: Local 648.4 mmHg, DO% Read 3 taken 7/13/2022 at 10:35 Averaged from 6 samples. Arrived 071422 cold with ice melted."
