Sample_ID,Location,Instrument,Spectrum_ID_Algal,Spectrum_ID_Water,Morphological ID,Morphologist,Objective
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0001_Algal,Spectrum_0001_Water,Gloeotrichia,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0002_Algal,Spectrum_0002_Water,Aphanizomenon,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0003_Algal,Spectrum_0003_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0004_Algal,Spectrum_0004_Water,Gloeotrichia,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0005_Algal,Spectrum_0005_Water,Aphanizomenon,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0006_Algal,Spectrum_0006_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0007_Algal,Spectrum_0007_Water,Gloeotrichia,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0008_Algal,Spectrum_0008_Water,Aphanizomenon,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0009_Algal,Spectrum_0009_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0010_Algal,Spectrum_0010_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0011_Algal,Spectrum_0011_Water,Aphanizomenon,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0012_Algal,Spectrum_0012_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0013_Algal,Spectrum_0013_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0014_Algal,Spectrum_0014_Water,Aphanizomenon,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0015_Algal,Spectrum_0015_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0016_Algal,Spectrum_0016_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0017_Algal,Spectrum_0017_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0018_Algal,Spectrum_0018_Water,Dolichospermum,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0019_Algal,Spectrum_0019_Water,Gloeotrichia,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0020_Algal,Spectrum_0020_Water,Gloeotrichia,Sarah Spaulding,20x
RPT_01,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0021_Algal,Spectrum_0021_Water,Gloeotrichia,Sarah Spaulding,20x
PB,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0022_Algal,Spectrum_0022_Water,Gloeotrichia,Sarah Spaulding,20x
PB,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0023_Algal,Spectrum_0023_Water,Gloeotrichia,Sarah Spaulding,20x
WRM,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0024_Algal,Spectrum_0024_Water,Dolichospermum,Sarah Spaulding,20x
WRM,"Upper Klamath Lake, OR (UKL)",Resonon Pika XC2,Spectrum_0025_Algal,Spectrum_0025_Water,Dolichospermum,Sarah Spaulding,20x
